Input,Output
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicConference_International_Conference_on_Nitride_Semiconductors.jpg,AcademicConference
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Acta_Mathematica_Sinica.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Aesthetic_Plastic_Surgery.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_African_Diaspora_Archaeology_Newsletter.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_African_Journal_of_Ecology.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Alzheimer_Disease_and_Associated_Disorders.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_American_Journal_of_Business.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_American_Journal_of_Chinese_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_American_Journal_of_HealthSystem_Pharmacy.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Anarchist_Studies.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Ancient_Philosophy_journal.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Andranikological_Review.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Annales_Zoologici.jpg,AcademicJournal
gs://ise-bucket/efficientnet/dataset-20-01-31_1-img_3000-ent_246-class/AcademicJournal_Annals_of_the_American_Thoracic_Society.jpg,AcademicJournal
