class	entity_count
Image	2897004
Person	1818071
Agent	1546261
TimePeriod	1127706
CareerStation	977023
Place	881597
Settlement	581293
PopulatedPlace	516747
Work	508099
Athlete	392672
Organisation	352081
SportsTeamMember	318735
OrganisationMember	318392
Species	306833
Eukaryote	302686
Village	231103
Animal	230175
MusicalWork	209142
ArchitecturalStructure	203065
PersonFunction	171413
SoccerPlayer	151207
Album	147917
Insect	146657
Film	129980
Building	123567
Company	109629
Infrastructure	92281
Artist	82757
Event	77583
OfficeHolder	71752
MusicalArtist	71014
TelevisionShow	70690
Station	69525
WrittenWork	69112
NaturalPlace	67863
Band	67831
Single	67150
Book	64239
Plant	62543
SocietalEvent	60321
MeanOfTransportation	59078
EducationalInstitution	55860
SportsSeason	55732
Software	52743
School	45445
Town	45415
SportsTeam	44978
BodyOfWater	44204
Politician	41078
SportsTeamSeason	39795
SportsEvent	36726
Ship	35486
River	35413
Group	34805
FootballLeagueSeason	34676
Broadcaster	33608
MilitaryPerson	33181
SoccerClub	33054
Writer	32512
Mollusca	32310
RouteOfTransportation	31246
University	30935
MilitaryUnit	29996
AdministrativeRegion	29405
Stream	28964
VideoGame	28869
City	28675
Road	28462
Device	27457
HistoricPlace	26780
GridironFootballPlayer	26636
Scientist	25760
Cricketer	25186
Region	25017
Mountain	23906
BaseballPlayer	22955
WinterSportPlayer	22903
AmericanFootballPlayer	22804
MilitaryConflict	22041
RadioStation	21957
FictionalCharacter	21845
SoccerTournament	20687
SoccerManager	20448
Tournament	20037
PeriodicalLiterature	19880
IceHockeyPlayer	19417
Fish	19392
SportsManager	18622
ChemicalSubstance	18543
MotorsportSeason	17584
Cleric	17265
NCAATeamSeason	16807
Protein	16768
Airport	16684
RugbyPlayer	16645
Lake	16068
Election	15908
AutomobileEngine	15811
Engine	15799
Mammal	15109
PoliticalParty	14481
ChemicalCompound	14425
Disease	14051
Bird	13670
HistoricBuilding	13657
Automobile	13459
Award	13171
AustralianRulesFootballPlayer	12910
Royalty	12781
Aircraft	12714
Cyclist	12366
BasketballPlayer	12250
Stadium	11854
CelestialBody	11792
Island	11711
ProtectedArea	11710
Food	11631
Language	11578
Fungus	11392
TelevisionStation	11119
Document	10943
Sound	10943
SoccerClubSeason	10712
Activity	10639
TelevisionEpisode	10633
Newspaper	10465
ChristianBishop	10442
Weapon	10186
Museum	10153
EthnicGroup	9621
Song	9225
SportFacility	8864
Sales	8824
Drug	8708
AnatomicalStructure	8614
Magazine	8613
AcademicJournal	8585
Swimmer	8564
Surname	8302
Venue	8181
Biomolecule	7843
MemberOfParliament	7719
ReligiousBuilding	7587
Artwork	7526
GovernmentAgency	7262
Coach	7221
CollegeCoach	7147
Country	7108
Boxer	6942
Amphibian	6916
MilitaryStructure	6777
Actor	6697
Reptile	6646
Comic	6645
SportsLeague	6627
Wrestler	6605
VolleyballPlayer	6547
Bridge	6439
MotorsportRacer	6358
Gymnast	6037
RacingDriver	5844
ComicsCharacter	5829
Cartoon	5776
Website	5655
RailwayLine	5607
Noble	5577
PowerStation	5466
SupremeCourtOfTheUnitedStatesCase	5431
RecordLabel	5395
TennisPlayer	5329
ArtistDiscography	5274
Star	5123
Enzyme	5027
Saint	4982
Play	4957
Planet	4934
FigureSkater	4777
Arachnid	4731
ArtificialSatellite	4604
Hospital	4573
Olympics	4556
OlympicEvent	4533
Bank	4512
TopicalConcept	4431
Name	4395
FootballMatch	4318
Anime	4271
Airline	4262
GolfTournament	4137
GivenName	4097
Castle	4069
Diocese	4060
Horse	4050
Park	4050
Locomotive	3996
TelevisionSeason	3876
Convention	3866
Dam	3858
Manga	3783
GaelicGamesPlayer	3741
Year	3637
GolfPlayer	3597
MartialArtist	3588
Congressman	3482
NationalFootballLeagueSeason	3439
Race	3356
ClericalAdministrativeRegion	3286
ShoppingMall	3249
PublicTransitSystem	3157
Train	3113
Criminal	3087
Judge	3081
HorseRace	2966
Architect	2887
ComicsCreator	2882
WomensTennisAssociationTournament	2874
Crustacean	2833
UnitOfWork	2824
Case	2813
LegalCase	2813
Governor	2753
Skier	2746
RugbyClub	2730
HockeyTeam	2718
Library	2687
SoapCharacter	2682
Monarch	2630
MountainRange	2613
InformationAppliance	2609
BeautyQueen	2597
Painter	2505
Legislature	2480
Satellite	2477
Lighthouse	2415
Crater	2346
RailwayStation	2312
SoccerLeague	2277
HandballPlayer	2267
MusicGenre	2257
Poem	2225
President	2223
Holiday	2150
AmusementParkAttraction	2150
CultivatedVariety	2149
Tower	2132
HollywoodCartoon	2050
ProgrammingLanguage	2031
MythologicalFigure	2010
MotorcycleRider	2000
Beverage	1978
Restaurant	1950
Non-ProfitOrganisation	1942
Mayor	1941
Philosopher	1924
BasketballTeam	1822
Sport	1821
Prison	1815
Publisher	1806
